date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:18	52279/52279	---M--	200	added ('OK')	image/svg+xml	etag:%225ba0048-cc37-57d0314846e65%22	http://povestea-noastra.com/theme/help404/_landing/images/ic/code.svg	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/ic/code.svg	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:37:24	6601/6601	---M--	200	added ('OK')	application/javascript	etag:%225ba0034-19c9-57d0311d10b2e%22	http://povestea-noastra.com/theme/help404/_landing/js/angular-sanitize.min.js	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/js/angular-sanitize.min.js	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:37:27	9053/9053	---M--	200	added ('OK')	application/javascript	etag:%225ba003a-235d-57d0312370130%22	http://povestea-noastra.com/theme/help404/_landing/js/scrollreveal.min.js	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/js/scrollreveal.min.js	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:37:33	21506/21506	---M--	200	added ('OK')	application/javascript	etag:%225ba0038-5402-57d031224f7ec%22	http://povestea-noastra.com/theme/help404/_landing/js/jquery.prettyPhoto.js	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/js/jquery.prettyPhoto.js	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:37:35	86659/86659	---M--	200	added ('OK')	application/javascript	etag:%225ba0036-15283-57d03120025fb%22	http://povestea-noastra.com/theme/help404/_landing/js/jquery.min.js	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/js/jquery.min.js	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:37:35	117117/117117	---M--	200	added ('OK')	image/png	etag:%225ba0033-1c97d-57d0311896706%22	http://povestea-noastra.com/theme/help404/_landing/images/rate.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/rate.png	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:37:37	108385/108385	---M--	200	added ('OK')	application/javascript	etag:%225ba0035-1a761-57d031217e81d%22	http://povestea-noastra.com/theme/help404/_landing/js/angular.min.js	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/js/angular.min.js	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:38:37	5138/5138	---M--	200	added ('OK')	application/javascript	etag:%225ba0037-1412-57d03120ed7c3%22	http://povestea-noastra.com/theme/help404/_landing/js/jquery.nav.js	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/js/jquery.nav.js	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:38:42	6085/6085	---M--	200	added ('OK')	application/javascript	etag:%225ba0039-17c5-57d031226ad6e%22	http://povestea-noastra.com/theme/help404/_landing/js/main.js	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/js/main.js	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:38:53	84789/84789	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225ba003b-14b35-57d031285b5f8%22	http://povestea-noastra.com/theme/help404/_landing/fonts/WebFonts/G-Regular.eot	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/fonts/WebFonts/G-Regular.eot	(from http://povestea-noastra.com/theme/help404/_landing/css/main.css)
12:38:53	59140/59140	---M--	200	added ('OK')	font/woff2	etag:%225ba003f-e704-57d03135ff605%22	http://povestea-noastra.com/theme/help404/_landing/fonts/WebFonts/G-Regular.woff2	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/fonts/WebFonts/G-Regular.woff2	(from http://povestea-noastra.com/theme/help404/_landing/css/main.css)
12:38:55	84789/84789	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225ba003b-14b35-57d031285b5f8%22	http://povestea-noastra.com/theme/help404/_landing/fonts/WebFonts/G-Regular.eot?	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/fonts/WebFonts/G-Regulard41d.eot	(from http://povestea-noastra.com/theme/help404/_landing/css/main.css)
12:38:58	45958/45958	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Jun%202020%2023:38:14%20GMT	https://www.google-analytics.com/analytics.js	/storage/emulated/0/HTTrack/Websites/404/www.google-analytics.com/analytics.js	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
12:40:12	93192/93192	---M--	200	added ('OK')	font/woff	etag:%225ba003e-16c08-57d03132b707a%22	http://povestea-noastra.com/theme/help404/_landing/fonts/WebFonts/G-Regular.woff	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/fonts/WebFonts/G-Regular.woff	(from http://povestea-noastra.com/theme/help404/_landing/css/main.css)
12:40:41	171832/171832	---M--	200	added ('OK')	font/ttf	etag:%225ba003d-29f38-57d0312d52641%22	http://povestea-noastra.com/theme/help404/_landing/fonts/WebFonts/G-Regular.ttf	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/fonts/WebFonts/G-Regular.ttf	(from http://povestea-noastra.com/theme/help404/_landing/css/main.css)
12:40:45	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225ba002b-2876e-57d03109e3ec6%22	http://povestea-noastra.com/theme/help404/_landing/fonts/fontawesome-webfont.eot?v=4.7.0	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/fonts/fontawesome-webfont3e6e.eot	(from http://povestea-noastra.com/theme/help404/_landing/css/font-awesome.min.css)
12:40:47	1093966/1093966	---M--	200	added ('OK')	image/svg+xml	etag:%225ba003c-10b14e-57d03134d0648%22	http://povestea-noastra.com/theme/help404/_landing/fonts/WebFonts/G-Regular.svg	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/fonts/WebFonts/G-Regular.svg	(from http://povestea-noastra.com/theme/help404/_landing/css/main.css)
12:41:30	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%225ba0030-12d68-57d0311365121%22	http://povestea-noastra.com/theme/help404/_landing/fonts/fontawesome-webfont.woff2?v=4.7.0	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/fonts/fontawesome-webfont3e6e.woff2	(from http://povestea-noastra.com/theme/help404/_landing/css/font-awesome.min.css)
12:41:39	98024/98024	---M--	200	added ('OK')	font/woff	etag:%225ba002f-17ee8-57d0310fe1a42%22	http://povestea-noastra.com/theme/help404/_landing/fonts/fontawesome-webfont.woff?v=4.7.0	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/fonts/fontawesome-webfont3e6e.woff	(from http://povestea-noastra.com/theme/help404/_landing/css/font-awesome.min.css)
